fold,accuracy,precision,recall,f1_score
1,0.6825396825396826,0.5510945403802547,0.5514455782312926,0.5466476913345983
2,0.5238095238095238,0.39255702280912363,0.3721088435374149,0.37244897959183676
3,0.49206349206349204,0.40733082706766915,0.3957482993197279,0.3824118738404452
4,0.6031746031746031,0.43652146173154577,0.5053571428571428,0.45427841634738186
5,0.6031746031746031,0.46001221001221004,0.44413265306122446,0.44781245831666
6,0.5873015873015873,0.46688311688311696,0.46904761904761905,0.4574051842959406
7,0.6666666666666666,0.5449907235621521,0.5403061224489797,0.5232463511720478
8,0.6031746031746031,0.43447905477980664,0.45127551020408163,0.4381825264178206
9,0.5714285714285714,0.5766439909297052,0.5153061224489796,0.5266768149265976
10,0.5714285714285714,0.42445127971443763,0.46530612244897956,0.4399992164698046
Average,0.5904761904761904,0.4694964227870022,0.47100340136054425,0.45891095127131337
